year,state,county_name,county_fips,party,candidatevotes,totalvotes
2020,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,3028885,4264365
2016,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,2464364,3434308
2008,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,2295853,3318248
2012,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,2216903,3181067
2004,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,1907736,3021647
2020,ILLINOIS,COOK,17031,DEMOCRAT,1725973,2321486
2000,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,1710505,2695154
2008,ILLINOIS,COOK,17031,DEMOCRAT,1629024,2137466
2016,ILLINOIS,COOK,17031,DEMOCRAT,1611946,2158615
2012,ILLINOIS,COOK,17031,DEMOCRAT,1488537,2011597
2004,ILLINOIS,COOK,17031,DEMOCRAT,1439724,2049434
2000,ILLINOIS,COOK,17031,DEMOCRAT,1280547,1865907
2020,ARIZONA,MARICOPA,4013,DEMOCRAT,978457,2068144
2020,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,964650,1602143
2020,TEXAS,HARRIS,48201,DEMOCRAT,918193,1640818
2020,WASHINGTON,KING,53033,DEMOCRAT,907310,1210507
2020,CALIFORNIA,ORANGE,6059,DEMOCRAT,814009,1522113
2016,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,735476,1306400
2016,WASHINGTON,KING,53033,DEMOCRAT,718322,998499
2016,TEXAS,HARRIS,48201,DEMOCRAT,707914,1312112
2020,NEW YORK,KINGS,36047,DEMOCRAT,703310,920380
2016,ARIZONA,MARICOPA,4013,DEMOCRAT,702907,1567834
2012,WASHINGTON,KING,53033,DEMOCRAT,668004,967154
2008,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,666581,1231047
2008,MICHIGAN,WAYNE,26163,DEMOCRAT,660085,890326
2008,WASHINGTON,KING,53033,DEMOCRAT,648230,922032
2016,NEW YORK,KINGS,36047,DEMOCRAT,640553,805605
2012,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,626957,1192282
2016,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,624146,980204
2020,FLORIDA,BROWARD,12011,DEMOCRAT,618752,957672
2020,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,617967,850741
2020,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,617864,1156816
2020,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,617659,770070
2020,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,617196,869347
2016,CALIFORNIA,ORANGE,6059,DEMOCRAT,609961,1197521
2020,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,603790,741377
2008,NEW YORK,KINGS,36047,DEMOCRAT,603525,759671
2020,NEW YORK,NEW YORK,36061,DEMOCRAT,603040,701405
2012,ARIZONA,MARICOPA,4013,DEMOCRAT,602288,1376558
2008,ARIZONA,MARICOPA,4013,DEMOCRAT,602166,1364962
2004,MICHIGAN,WAYNE,26163,DEMOCRAT,600047,864728
2020,TEXAS,DALLAS,48113,DEMOCRAT,598576,919504
2020,MICHIGAN,WAYNE,26163,DEMOCRAT,597170,872469
2008,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,595980,717155
2012,MICHIGAN,WAYNE,26163,DEMOCRAT,595846,815825
2008,TEXAS,HARRIS,48201,DEMOCRAT,590982,1171472
2012,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,588806,690327
2012,TEXAS,HARRIS,48201,DEMOCRAT,587044,1188585
2016,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,584025,707631
2004,WASHINGTON,KING,53033,DEMOCRAT,580378,893534
2012,NEW YORK,KINGS,36047,DEMOCRAT,580225,730534
2016,NEW YORK,NEW YORK,36061,DEMOCRAT,579013,668939
2008,NEW YORK,NEW YORK,36061,DEMOCRAT,572126,667271
2020,NEW YORK,QUEENS,36081,DEMOCRAT,569038,794498
2016,FLORIDA,BROWARD,12011,DEMOCRAT,553320,831951
2008,CALIFORNIA,ORANGE,6059,DEMOCRAT,549558,1153687
2004,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,542205,674069
2012,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,541440,878314
2020,MINNESOTA,HENNEPIN,27053,DEMOCRAT,532623,755969
2000,MICHIGAN,WAYNE,26163,DEMOCRAT,530414,768627
2020,CALIFORNIA,RIVERSIDE,6065,DEMOCRAT,528340,997156
2004,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,526437,1133584
2020,NEVADA,CLARK,32003,DEMOCRAT,521777,972308
2016,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,520360,784034
2016,MICHIGAN,WAYNE,26163,DEMOCRAT,519444,777838
2016,NEW YORK,QUEENS,36081,DEMOCRAT,517220,686393
2016,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,514842,654266
2012,CALIFORNIA,ORANGE,6059,DEMOCRAT,512440,1122664
2016,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,511684,703709
2004,NEW YORK,NEW YORK,36061,DEMOCRAT,509841,641747
2012,FLORIDA,BROWARD,12011,DEMOCRAT,508312,756422
2004,ARIZONA,MARICOPA,4013,DEMOCRAT,504849,1192751
2008,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,499831,863486
2000,NEW YORK,KINGS,36047,DEMOCRAT,497468,617105
2004,NEW YORK,KINGS,36047,DEMOCRAT,494165,687780
2008,FLORIDA,BROWARD,12011,DEMOCRAT,492640,733899
2008,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,489106,621029
2012,NEW YORK,NEW YORK,36061,DEMOCRAT,486172,597227
2000,WASHINGTON,KING,53033,DEMOCRAT,476700,794078
2004,TEXAS,HARRIS,48201,DEMOCRAT,475865,1067968
2012,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,471804,754170
2012,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,469684,595642
2008,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,464484,726031
2008,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,462241,665589
2012,NEW YORK,QUEENS,36081,DEMOCRAT,461391,595073
2016,TEXAS,DALLAS,48113,DEMOCRAT,461080,758973
2008,OHIO,CUYAHOGA,39035,DEMOCRAT,458204,665114
2020,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,455859,841130
2004,FLORIDA,BROWARD,12011,DEMOCRAT,453873,706872
2012,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,450818,643091
2000,NEW YORK,NEW YORK,36061,DEMOCRAT,449300,563232
2000,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,449182,561180
2004,OHIO,CUYAHOGA,39035,DEMOCRAT,448486,673766
2020,TEXAS,BEXAR,48029,DEMOCRAT,448452,770818
2008,NEW YORK,QUEENS,36081,DEMOCRAT,447906,597598
2012,OHIO,CUYAHOGA,39035,DEMOCRAT,447232,644281
2004,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,440862,688960
2020,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,440808,718440
2000,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,437666,958634
2020,TEXAS,TRAVIS,48453,DEMOCRAT,435860,608575
2020,MICHIGAN,OAKLAND,26125,DEMOCRAT,434148,770351
2020,FLORIDA,PALM BEACH,12099,DEMOCRAT,433572,773158
2016,MINNESOTA,HENNEPIN,27053,DEMOCRAT,429288,679977
2020,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,429065,719733
2012,MINNESOTA,HENNEPIN,27053,DEMOCRAT,423982,680065
2008,TEXAS,DALLAS,48113,DEMOCRAT,422989,738463
2004,NEW YORK,QUEENS,36081,DEMOCRAT,422609,605062
2004,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,422585,560742
2008,MINNESOTA,HENNEPIN,27053,DEMOCRAT,420958,663780
2004,CALIFORNIA,ORANGE,6059,DEMOCRAT,419239,1073296
2000,TEXAS,HARRIS,48201,DEMOCRAT,418267,974822
2000,NEW YORK,QUEENS,36081,DEMOCRAT,416967,555930
2020,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,416386,581316
2020,OHIO,CUYAHOGA,39035,DEMOCRAT,416176,625670
2020,TEXAS,TARRANT,48439,DEMOCRAT,411567,834697
2004,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,409732,774726
2020,OHIO,FRANKLIN,39049,DEMOCRAT,409144,630577
2012,TEXAS,DALLAS,48113,DEMOCRAT,405571,710117
2000,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,404043,657048
2016,NEVADA,CLARK,32003,DEMOCRAT,402227,767156
2016,OHIO,CUYAHOGA,39035,DEMOCRAT,398271,603822
2020,NEW YORK,NASSAU,36059,DEMOCRAT,396504,738369
2020,FLORIDA,ORANGE,12095,DEMOCRAT,395014,647403
2000,CALIFORNIA,ORANGE,6059,DEMOCRAT,391819,970905
2012,NEVADA,CLARK,32003,DEMOCRAT,389936,691190
2000,FLORIDA,BROWARD,12011,DEMOCRAT,387703,575143
2000,ARIZONA,MARICOPA,4013,DEMOCRAT,386683,901699
2004,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,386100,602614
2004,MINNESOTA,HENNEPIN,27053,DEMOCRAT,383842,646984
2008,NEVADA,CLARK,32003,DEMOCRAT,380765,651172
2020,CALIFORNIA,SAN FRANCISCO,6075,DEMOCRAT,378156,443553
2020,FLORIDA,HILLSBOROUGH,12057,DEMOCRAT,376367,712063
2016,FLORIDA,PALM BEACH,12099,DEMOCRAT,374673,662332
2016,CALIFORNIA,RIVERSIDE,6065,DEMOCRAT,373695,751391
2008,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,373153,651380
2008,MICHIGAN,OAKLAND,26125,DEMOCRAT,372566,659068
2004,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,368912,645469
2020,NEW YORK,SUFFOLK,36103,DEMOCRAT,368000,757877
2016,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,367617,650114
2020,OREGON,MULTNOMAH,41051,DEMOCRAT,367249,463659
2008,FLORIDA,PALM BEACH,12099,DEMOCRAT,361271,590500
2000,OHIO,CUYAHOGA,39035,DEMOCRAT,359913,574782
2016,MARYLAND,MONTGOMERY,24031,DEMOCRAT,357837,478873
2020,NEW YORK,BRONX,36005,DEMOCRAT,355374,432399
2016,VIRGINIA,FAIRFAX,51059,DEMOCRAT,355133,551183
2016,NEW YORK,BRONX,36005,DEMOCRAT,353646,399522
2012,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,352687,622081
2016,OHIO,FRANKLIN,39049,DEMOCRAT,351198,581140
2012,FLORIDA,PALM BEACH,12099,DEMOCRAT,349651,600721
2012,MICHIGAN,OAKLAND,26125,DEMOCRAT,349002,651607
2012,MARYLAND,PRINCE GEORGE'S,24033,DEMOCRAT,347938,387744
2008,NEW YORK,SUFFOLK,36103,DEMOCRAT,346379,659027
2012,OHIO,FRANKLIN,39049,DEMOCRAT,346336,570983
2016,CALIFORNIA,SAN FRANCISCO,6075,DEMOCRAT,345084,405792
2016,MARYLAND,PRINCE GEORGE'S,24033,DEMOCRAT,344049,390385
2016,MICHIGAN,OAKLAND,26125,DEMOCRAT,343070,664614
2000,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,342889,494336
2008,NEW YORK,NASSAU,36059,DEMOCRAT,342067,635414
2000,NEW YORK,NASSAU,36059,DEMOCRAT,341610,589707
2016,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,340833,653983
2008,NEW YORK,BRONX,36005,DEMOCRAT,338261,381286
2004,TEXAS,DALLAS,48113,DEMOCRAT,336641,687709
2008,OHIO,FRANKLIN,39049,DEMOCRAT,334684,560291
2012,NEW YORK,BRONX,36005,DEMOCRAT,334600,370894
2008,MISSOURI,ST. LOUIS COUNTY,29189,DEMOCRAT,333123,559854
2000,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,332490,548129
2012,WISCONSIN,MILWAUKEE,55079,DEMOCRAT,332438,492576
2008,MARYLAND,PRINCE GEORGE'S,24033,DEMOCRAT,332396,374026
2000,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,329963,582478
2016,FLORIDA,ORANGE,12095,DEMOCRAT,329894,546275
2012,CALIFORNIA,RIVERSIDE,6065,DEMOCRAT,329063,661907
2000,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,328808,625449
2004,FLORIDA,PALM BEACH,12099,DEMOCRAT,328687,544622
2020,MISSOURI,ST. LOUIS COUNTY,29189,DEMOCRAT,328151,536446
2016,NEW YORK,NASSAU,36059,DEMOCRAT,326088,636967
2016,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,326023,559330
2008,CALIFORNIA,RIVERSIDE,6065,DEMOCRAT,325017,647299
2012,MARYLAND,MONTGOMERY,24031,DEMOCRAT,323400,455992
2008,CALIFORNIA,SAN FRANCISCO,6075,DEMOCRAT,322220,382865
2020,VIRGINIA,FAIRFAX,51059,DEMOCRAT,321219,601243
2008,WISCONSIN,MILWAUKEE,55079,DEMOCRAT,319819,475192
2016,TEXAS,BEXAR,48029,DEMOCRAT,319550,589645
2020,PENNSYLVANIA,MONTGOMERY,42091,DEMOCRAT,319511,510157
2004,MICHIGAN,OAKLAND,26125,DEMOCRAT,319387,641977
2016,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,319287,466175
2020,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,11001,DEMOCRAT,317323,344356
2004,NEW YORK,NASSAU,36059,DEMOCRAT,317283,618343
2020,WISCONSIN,MILWAUKEE,55079,DEMOCRAT,317270,458971
2008,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,316506,541101
2008,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,315720,606334
2012,VIRGINIA,FAIRFAX,51059,DEMOCRAT,315273,529287
2008,MARYLAND,MONTGOMERY,24031,DEMOCRAT,314444,439261
2020,COLORADO,DENVER,8031,DEMOCRAT,313293,393829
2020,NEW YORK,WESTCHESTER,36119,DEMOCRAT,312371,462265
2008,VIRGINIA,FAIRFAX,51059,DEMOCRAT,310359,516254
2016,TEXAS,TRAVIS,48453,DEMOCRAT,308260,468720
2016,FLORIDA,HILLSBOROUGH,12057,DEMOCRAT,307896,597660
2000,MINNESOTA,HENNEPIN,27053,DEMOCRAT,307599,573846
2004,NEW YORK,SUFFOLK,36103,DEMOCRAT,307011,638712
2008,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,306983,451650
2000,NEW YORK,SUFFOLK,36103,DEMOCRAT,306306,573866
2012,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,305109,581517
2016,NEW YORK,SUFFOLK,36103,DEMOCRAT,303951,681254
2016,NORTH CAROLINA,WAKE,37183,DEMOCRAT,302736,527624
2012,CALIFORNIA,SAN FRANCISCO,6075,DEMOCRAT,301723,361209
2012,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,300503,516809
2004,WISCONSIN,MILWAUKEE,55079,DEMOCRAT,297653,482236
2020,CONNECTICUT,FAIRFIELD,9001,DEMOCRAT,297505,472396
2012,MISSOURI,ST. LOUIS COUNTY,29189,DEMOCRAT,297097,528676
2016,GEORGIA,FULTON,13121,DEMOCRAT,297051,431391
2004,CALIFORNIA,SAN FRANCISCO,6075,DEMOCRAT,296772,355929
2004,MISSOURI,ST. LOUIS COUNTY,29189,DEMOCRAT,295284,542983
2012,NEW YORK,NASSAU,36059,DEMOCRAT,294661,568151
2016,NORTH CAROLINA,MECKLENBURG,37119,DEMOCRAT,294562,472857
2016,OREGON,MULTNOMAH,41051,DEMOCRAT,292561,399103
2020,CALIFORNIA,SAN MATEO,6081,DEMOCRAT,291496,374251
2012,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,290824,438226
2016,WISCONSIN,MILWAUKEE,55079,DEMOCRAT,288797,440247
2016,TEXAS,TARRANT,48439,DEMOCRAT,288392,668514
2012,NEW YORK,SUFFOLK,36103,DEMOCRAT,287519,586258
2016,MISSOURI,ST. LOUIS COUNTY,29189,DEMOCRAT,286704,514858
2012,FLORIDA,HILLSBOROUGH,12057,DEMOCRAT,286467,542102
2020,NEW JERSEY,BERGEN,34003,DEMOCRAT,285967,495849
2004,OHIO,FRANKLIN,39049,DEMOCRAT,285800,525824
2020,CONNECTICUT,HARTFORD,9003,DEMOCRAT,283368,449336
2016,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,11001,DEMOCRAT,282830,311268
2020,ARIZONA,PIMA,4019,DEMOCRAT,282457,520397
2004,NEVADA,CLARK,32003,DEMOCRAT,281767,545397
2020,ILLINOIS,DUPAGE,17043,DEMOCRAT,281222,485104
2000,MICHIGAN,OAKLAND,26125,DEMOCRAT,281201,570265
2008,OREGON,MULTNOMAH,41051,DEMOCRAT,279696,364710
2020,FLORIDA,PINELLAS,12103,DEMOCRAT,277450,559715
2004,NEW YORK,BRONX,36005,DEMOCRAT,276938,342929
2008,TEXAS,BEXAR,48029,DEMOCRAT,275527,525715
2000,TEXAS,DALLAS,48113,DEMOCRAT,275308,613039
2012,OREGON,MULTNOMAH,41051,DEMOCRAT,274887,364722
2008,TEXAS,TARRANT,48439,DEMOCRAT,274880,628553
2004,MARYLAND,MONTGOMERY,24031,DEMOCRAT,273936,415225
2012,FLORIDA,ORANGE,12095,DEMOCRAT,273665,466359
2020,MASSACHUSETTS,NORFOLK,25021,DEMOCRAT,273312,411042
2008,FLORIDA,ORANGE,12095,DEMOCRAT,273009,462711
2008,FLORIDA,HILLSBOROUGH,12057,DEMOCRAT,272963,513312
2016,NEW YORK,WESTCHESTER,36119,DEMOCRAT,272926,420655
2012,NORTH CAROLINA,MECKLENBURG,37119,DEMOCRAT,272262,448900
2008,GEORGIA,FULTON,13121,DEMOCRAT,272000,405628
2020,UTAH,SALT LAKE,49035,DEMOCRAT,271576,546581
2020,MASSACHUSETTS,SUFFOLK,25025,DEMOCRAT,270522,337240
2000,FLORIDA,PALM BEACH,12099,DEMOCRAT,269732,433186
2008,CONNECTICUT,HARTFORD,9003,DEMOCRAT,268301,411785
2012,NORTH CAROLINA,WAKE,37183,DEMOCRAT,267262,486427
2020,MASSACHUSETTS,ESSEX,25009,DEMOCRAT,267198,424599
2020,NEW YORK,ERIE,36029,DEMOCRAT,267174,476787
2012,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,11001,DEMOCRAT,267070,293764
2020,NEW JERSEY,ESSEX,34013,DEMOCRAT,266820,345311
2000,NEW YORK,BRONX,36005,DEMOCRAT,265801,308048
2012,TEXAS,BEXAR,48029,DEMOCRAT,264856,513681
2008,NEW YORK,WESTCHESTER,36119,DEMOCRAT,261810,412847
2004,MARYLAND,PRINCE GEORGE'S,24033,DEMOCRAT,260532,318474
2020,WISCONSIN,DANE,55025,DEMOCRAT,260185,344791
2004,OREGON,MULTNOMAH,41051,DEMOCRAT,259585,362694
2004,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,257254,412139
2020,WASHINGTON,SNOHOMISH,53061,DEMOCRAT,256728,438796
2008,NEW YORK,ERIE,36029,DEMOCRAT,256299,441985
2008,TENNESSEE,SHELBY,47157,DEMOCRAT,256297,404555
2016,PENNSYLVANIA,MONTGOMERY,42091,DEMOCRAT,256082,434687
2012,GEORGIA,FULTON,13121,DEMOCRAT,255470,397413
2008,GEORGIA,DEKALB,13089,DEMOCRAT,254594,322301
2008,TEXAS,TRAVIS,48453,DEMOCRAT,254017,397714
2008,NORTH CAROLINA,MECKLENBURG,37119,DEMOCRAT,253958,410817
2008,PENNSYLVANIA,MONTGOMERY,42091,DEMOCRAT,253393,422411
2012,TEXAS,TARRANT,48439,DEMOCRAT,253071,610890
2020,FLORIDA,DUVAL,12031,DEMOCRAT,252556,492820
2000,WISCONSIN,MILWAUKEE,55079,DEMOCRAT,252329,433537
2020,CALIFORNIA,VENTURA,6111,DEMOCRAT,251388,422825
2016,GEORGIA,DEKALB,13089,DEMOCRAT,251370,314757
2008,NORTH CAROLINA,WAKE,37183,DEMOCRAT,250891,442245
2000,MISSOURI,ST. LOUIS COUNTY,29189,DEMOCRAT,250631,486884
2020,WASHINGTON,PIERCE,53053,DEMOCRAT,249506,464081
2020,MASSACHUSETTS,WORCESTER,25027,DEMOCRAT,248773,434921
2008,FLORIDA,PINELLAS,12103,DEMOCRAT,248299,463282
2020,INDIANA,MARION,18097,DEMOCRAT,247772,389619
2020,OHIO,HAMILTON,39061,DEMOCRAT,246266,430929
2020,TENNESSEE,SHELBY,47157,DEMOCRAT,246105,382055
2008,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,11001,DEMOCRAT,245800,265853
2016,MASSACHUSETTS,SUFFOLK,25025,DEMOCRAT,245751,308741
2004,VIRGINIA,FAIRFAX,51059,DEMOCRAT,245671,461379
2012,CONNECTICUT,HARTFORD,9003,DEMOCRAT,244639,392240
2016,COLORADO,DENVER,8031,DEMOCRAT,244551,331852
2016,CONNECTICUT,FAIRFIELD,9001,DEMOCRAT,243852,421209
2020,CONNECTICUT,NEW HAVEN,9009,DEMOCRAT,242630,417983
2008,INDIANA,MARION,18097,DEMOCRAT,241987,379362
2000,CALIFORNIA,SAN FRANCISCO,6075,DEMOCRAT,241578,319786
2008,CONNECTICUT,FAIRFIELD,9001,DEMOCRAT,241320,411096
2016,NEW JERSEY,ESSEX,34013,DEMOCRAT,240837,310934
2004,NEW YORK,ERIE,36029,DEMOCRAT,240563,445138
2016,CONNECTICUT,HARTFORD,9003,DEMOCRAT,240403,406864
2008,NEW JERSEY,ESSEX,34013,DEMOCRAT,240306,315004
2000,NEW YORK,ERIE,36029,DEMOCRAT,240176,424654
2020,NORTH CAROLINA,MECKLENBURG,37119,DEMOCRAT,239644,567053
2012,FLORIDA,PINELLAS,12103,DEMOCRAT,239104,457702
2020,HAWAII,HONOLULU,15003,DEMOCRAT,238866,382102
2012,GEORGIA,DEKALB,13089,DEMOCRAT,238224,306265
2016,CALIFORNIA,SAN MATEO,6081,DEMOCRAT,237882,314384
2004,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,236657,476765
2012,NEW JERSEY,ESSEX,34013,DEMOCRAT,236618,303019
2012,NEW YORK,WESTCHESTER,36119,DEMOCRAT,234778,388447
2016,FLORIDA,PINELLAS,12103,DEMOCRAT,233701,492403
2012,PENNSYLVANIA,MONTGOMERY,42091,DEMOCRAT,233356,412200
2008,CONNECTICUT,NEW HAVEN,9009,DEMOCRAT,232820,381739
2012,TEXAS,TRAVIS,48453,DEMOCRAT,232788,387057
2000,MARYLAND,MONTGOMERY,24031,DEMOCRAT,232453,371688
2012,TENNESSEE,SHELBY,47157,DEMOCRAT,232443,371109
2016,NEW JERSEY,BERGEN,34003,DEMOCRAT,231211,419296
2020,TEXAS,COLLIN,48085,DEMOCRAT,230945,490856
2004,CONNECTICUT,HARTFORD,9003,DEMOCRAT,229902,391808
2004,CALIFORNIA,RIVERSIDE,6065,DEMOCRAT,228806,556882
2008,ILLINOIS,DUPAGE,17043,DEMOCRAT,228698,417973
2016,ILLINOIS,DUPAGE,17043,DEMOCRAT,228622,428769
2020,KENTUCKY,JEFFERSON,21111,DEMOCRAT,228288,386093
2004,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,227789,522777
2012,NEW YORK,ERIE,36029,DEMOCRAT,227325,414195
2020,NEW JERSEY,MIDDLESEX,34023,DEMOCRAT,226250,374362
2020,NEW YORK,MONROE,36055,DEMOCRAT,225746,383499
2004,FLORIDA,PINELLAS,12103,DEMOCRAT,225460,455357
2008,NEW JERSEY,BERGEN,34003,DEMOCRAT,225367,412638
2004,NEW YORK,WESTCHESTER,36119,DEMOCRAT,224992,395770
2020,GEORGIA,FULTON,13121,DEMOCRAT,224688,524659
2016,ARIZONA,PIMA,4019,DEMOCRAT,224661,421640
2008,OHIO,HAMILTON,39061,DEMOCRAT,224644,424082
2000,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,224338,381478
2020,NORTH CAROLINA,WAKE,37183,DEMOCRAT,224040,631830
2020,MICHIGAN,MACOMB,26099,DEMOCRAT,223952,494256
2012,MASSACHUSETTS,SUFFOLK,25025,DEMOCRAT,223896,289098
2008,MICHIGAN,MACOMB,26099,DEMOCRAT,223784,419216
2008,CALIFORNIA,SAN MATEO,6081,DEMOCRAT,222826,303292
2016,MASSACHUSETTS,ESSEX,25009,DEMOCRAT,222310,379868
2004,PENNSYLVANIA,MONTGOMERY,42091,DEMOCRAT,222048,399591
2012,COLORADO,DENVER,8031,DEMOCRAT,222018,301694
2016,MASSACHUSETTS,NORFOLK,25021,DEMOCRAT,221819,361562
2012,MARYLAND,BALTIMORE CITY,24510,DEMOCRAT,221478,254005
2000,CONNECTICUT,HARTFORD,9003,DEMOCRAT,221167,367556
2012,MARYLAND,BALTIMORE,24005,DEMOCRAT,220322,384782
2012,OHIO,HAMILTON,39061,DEMOCRAT,219927,418894
2012,CONNECTICUT,NEW HAVEN,9009,DEMOCRAT,218972,361026
2016,MARYLAND,BALTIMORE,24005,DEMOCRAT,218412,390682
2020,COLORADO,JEFFERSON,8059,DEMOCRAT,218396,377358
2000,NEW YORK,WESTCHESTER,36119,DEMOCRAT,218010,371775
2016,WISCONSIN,DANE,55025,DEMOCRAT,217526,310017
2012,CONNECTICUT,FAIRFIELD,9001,DEMOCRAT,217294,396130
2012,INDIANA,MARION,18097,DEMOCRAT,216336,359009
2000,MARYLAND,PRINCE GEORGE'S,24033,DEMOCRAT,216119,271909
2012,WISCONSIN,DANE,55025,DEMOCRAT,216071,304181
2004,TENNESSEE,SHELBY,47157,DEMOCRAT,215810,375584
2016,OHIO,HAMILTON,39061,DEMOCRAT,215719,409109
2016,NEW YORK,ERIE,36029,DEMOCRAT,215456,423625
2000,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,214749,454893
2008,MARYLAND,BALTIMORE CITY,24510,DEMOCRAT,214385,245968
2008,HAWAII,HONOLULU,15003,DEMOCRAT,214239,306813
2008,MARYLAND,BALTIMORE,24005,DEMOCRAT,214151,380938
2004,FLORIDA,HILLSBOROUGH,12057,DEMOCRAT,214132,463222
2020,COLORADO,ARAPAHOE,8005,DEMOCRAT,213607,350183
2016,INDIANA,MARION,18097,DEMOCRAT,212899,362372
2000,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,212792,431550
2012,NEW JERSEY,BERGEN,34003,DEMOCRAT,212754,385407
2020,MINNESOTA,RAMSEY,27123,DEMOCRAT,211620,295977
2004,TEXAS,BEXAR,48029,DEMOCRAT,210976,475314
2012,MASSACHUSETTS,ESSEX,25009,DEMOCRAT,210302,366357
2020,OREGON,WASHINGTON,41067,DEMOCRAT,209940,320326
2016,TENNESSEE,SHELBY,47157,DEMOCRAT,208992,337383
2008,MASSACHUSETTS,ESSEX,25009,DEMOCRAT,208976,353665
2012,MICHIGAN,MACOMB,26099,DEMOCRAT,208016,404086
2004,NEW JERSEY,BERGEN,34003,DEMOCRAT,207666,400244
2004,TEXAS,TARRANT,48439,DEMOCRAT,207286,560141
2008,NEW YORK,MONROE,36055,DEMOCRAT,207225,355725
2008,MASSACHUSETTS,SUFFOLK,25025,DEMOCRAT,207127,269221
2020,PENNSYLVANIA,DELAWARE,42045,DEMOCRAT,206423,327931
2008,ARIZONA,PIMA,4019,DEMOCRAT,206254,393428
2012,CALIFORNIA,SAN MATEO,6081,DEMOCRAT,206085,285720
2008,WISCONSIN,DANE,55025,DEMOCRAT,205984,282939
2004,CONNECTICUT,FAIRFIELD,9001,DEMOCRAT,205902,400967
