year,state,county_name,county_fips,party,candidatevotes,totalvotes
2000,KANSAS,ATCHISON,20005,DEMOCRAT,3171,6900
2012,ALABAMA,FRANKLIN,1059,DEMOCRAT,3171,10859
2016,GEORGIA,LEE,13177,DEMOCRAT,3170,14143
2012,ALASKA,DISTRICT 26,2026,DEMOCRAT,3169,10491
2000,INDIANA,JAY,18075,DEMOCRAT,3167,8030
2012,GEORGIA,CRISP,13081,DEMOCRAT,3167,7396
2012,ALASKA,DISTRICT 23,2023,DEMOCRAT,3167,8370
2000,TENNESSEE,HENDERSON,47077,DEMOCRAT,3166,8399
2004,MINNESOTA,SWIFT,27151,DEMOCRAT,3165,5735
2008,KENTUCKY,TAYLOR,21217,DEMOCRAT,3165,10860
2004,COLORADO,OTERO,8089,DEMOCRAT,3164,8180
2012,OKLAHOMA,CADDO,40015,DEMOCRAT,3164,8851
2020,WEST VIRGINIA,PRESTON,54077,DEMOCRAT,3163,14572
2000,WISCONSIN,RUSK,55107,DEMOCRAT,3161,7366
2016,NORTH CAROLINA,YADKIN,37197,DEMOCRAT,3160,17624
2020,FLORIDA,BRADFORD,12007,DEMOCRAT,3160,13632
2008,KENTUCKY,MERCER,21167,DEMOCRAT,3159,10060
2000,GEORGIA,UPSON,13293,DEMOCRAT,3158,8282
2004,CALIFORNIA,LASSEN,6035,DEMOCRAT,3158,11437
2012,ALABAMA,COVINGTON,1039,DEMOCRAT,3158,15423
2016,KENTUCKY,MONTGOMERY,21173,DEMOCRAT,3158,11452
2020,TENNESSEE,DYER,47045,DEMOCRAT,3158,15079
2016,LOUISIANA,RICHLAND,22083,DEMOCRAT,3157,9597
2000,MISSOURI,VERNON,29217,DEMOCRAT,3156,8408
2020,MARYLAND,CECIL,24015,DEMOCRAT,3156,47462
2004,MISSISSIPPI,WAYNE,28153,DEMOCRAT,3155,8527
2016,CALIFORNIA,INYO,6027,DEMOCRAT,3155,8086
2008,KENTUCKY,GRAYSON,21085,DEMOCRAT,3154,9903
2012,LOUISIANA,MADISON,22065,DEMOCRAT,3154,5187
2016,OHIO,CARROLL,39019,DEMOCRAT,3154,13074
2000,TEXAS,COOKE,48097,DEMOCRAT,3153,13469
2012,MISSOURI,STODDARD,29207,DEMOCRAT,3153,12866
2008,MISSISSIPPI,YALOBUSHA,28161,DEMOCRAT,3151,6801
2016,COLORADO,MORGAN,8087,DEMOCRAT,3151,11960
2000,MISSOURI,BENTON,29015,DEMOCRAT,3150,7534
2020,GEORGIA,SUMTER,13261,DEMOCRAT,3150,12150
2008,ARKANSAS,CONWAY,5029,DEMOCRAT,3149,8138
2012,VIRGINIA,LANCASTER,51103,DEMOCRAT,3149,6961
2016,ARKANSAS,HOT SPRING,5059,DEMOCRAT,3149,11944
2012,NEBRASKA,PLATTE,31141,DEMOCRAT,3148,13473
2016,NEW YORK,LEWIS,36049,DEMOCRAT,3146,11325
2004,ALABAMA,WASHINGTON,1129,DEMOCRAT,3145,8247
2008,TEXAS,TITUS,48449,DEMOCRAT,3145,9245
